year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2010;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Burkina Faso;;;28,8;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Burkina Faso;;;16,1;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1998;1998-99 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Burkina Faso;;;17,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1993;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Burkina Faso;;;17,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1994;1994-95 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Central African Republic;;;2,1;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Egypt;;;3,1;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2005;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Egypt;;;1,7;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2000;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Egypt;;;1,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1995;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Egypt;;;;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1992;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Egypt;;;;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Ghana;;;4,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Ghana;;;1,7;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1998;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Ghana;;;0,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1993;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Ghana;;;0,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;2008-09 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Kenya;;;1,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Kenya;;;0,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1998;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Kenya;;;0,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1993;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Kenya;;;;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;2003-04 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Morocco;;;10,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1992;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Morocco;;;9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Nigeria;;;24,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Nigeria;;;13,8;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1999;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Nigeria;;;13,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2010;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Rwanda;;;0,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2007;2007-08 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Rwanda;;;0,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2005;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Rwanda;;;0,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2000;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Rwanda;;;0,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1992;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Rwanda;;;0,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2010;2010-11 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Senegal;;;6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;2008-09 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Senegal;;;5,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2005;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Senegal;;;4,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1997;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Senegal;;;2,5;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1992;1992-93 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Senegal;;;2,1;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2010;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Tanzania;;;2,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2004;2004-05 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Tanzania;;;0,7;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1999;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Tanzania;;;0,5;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1996;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Tanzania;;;0,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1991;1991-92 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Tanzania;;;0,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2010;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Armenia;;;0,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2005;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Armenia;;;1,2;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2000;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Armenia;;;2,8;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2011;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Bangladesh;;;4,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2007;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Bangladesh;;;2,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2004;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Bangladesh;;;1,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1999;1999-00 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Bangladesh;;;1,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1996;1996-97 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Bangladesh;;;;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1993;1993-94 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Bangladesh;;;;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2005;2005-06 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;India;;;10,8;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1998;1998-99 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;India;;;6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1992;1992-93 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;India;;;3,8;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2007;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Indonesia;;;37,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2002;2002-03 ;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Indonesia;;;21,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1997;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Indonesia;;;16,5;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1994;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Indonesia;;;10,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1991;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Indonesia;;;;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Philippines;;;20,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Philippines;;;11;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1998;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Philippines;;;8,8;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2010;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Colombia;;;16,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2005;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Colombia;;;5,8;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1995;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Colombia;;;3,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1990;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Colombia;;;4,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2009;;owner_motorcycle_rural_area;Ownership of motorcycle – Rural area;p;rural;;Guyana;;;6,6;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
